DateTime-DataName,Motor-CMD,Motor-FB,Depth1,Power-Prop V,Power-Prop I
29:34.7,744.0,46.0,39.0,77.6,0.1
29:34.8,744.0,46.0,39.0,77.6,0.1
29:34.9,744.0,52.0,39.0,77.6,0.1
29:35.1,744.0,132.0,39.0,77.6,0.1
29:35.2,744.0,153.0,40.0,77.6,0.1
29:35.3,744.0,163.0,40.0,77.6,0.1
29:35.4,744.0,167.0,39.0,77.6,0.1
29:35.5,744.0,172.0,39.0,77.5,1.1
29:35.6,744.0,178.0,38.0,77.5,1.1
29:35.7,744.0,190.0,39.0,77.5,1.1
29:35.8,744.0,201.0,39.0,77.5,1.1
29:35.9,744.0,213.0,39.0,77.5,1.1
29:36.0,744.0,220.0,40.0,77.5,1.1
29:36.2,744.0,239.0,41.0,77.5,1.1
29:36.3,744.0,248.0,41.0,77.5,1.1
29:36.4,744.0,255.0,40.0,77.5,1.1
29:36.5,744.0,263.0,40.0,77.5,2.3
29:36.6,744.0,270.0,39.0,77.5,2.3
29:36.7,744.0,281.0,37.0,77.5,2.3
